COP1000,Principles of Programmin,DAY & NIGHT,DAY & NIGHT,DAY & NIGHT,NIGHT,YES
COP2334,Introduction to C++ Programming,DAY,NIGHT,DAY,NIGHT,YES
COP2335,Advanced C++ Programming,NIGHT,NONE,NIGHT,NONE,NO
COP2360,Introduction to C# Programming,NIGHT,DAY,NIGHT,NIG1HT,NO
COP2362,Advanced C# Programming,NONE,NIGHT,NONE,NONE,YES
COP2800,Introduction to Java Programming,NIGHT,DAY,NIGHT,NONE,NO
COP2805,Advanced Java Programming,NONE,NIGHT,NONE,NONE,YES
COP2822,Web Page Authoring,DAY,NIGHT,DAY,NONE,YES
COP2812,Introduction to XML,NONE,NONE,NONE,NONE,YES
COP2831,Web Programming,NONE,NONE,NONE,NONE,YES

